date,body
2000-07-25T07:26:00-07:00,"I think you or someone in your group should cover this  The attendees are 
operations focussed and may be interested in issues such as siting 
interconnection and environmental issues  Also from a more macro 
perspective what kinds of demands the new industry structure may place on 
operators   the importance of flexibility in asset operations ie the 
premium the market will place on quick response or the challenges of 
different scheduling regimes between the gas and power markets

 Forwarded by Steven J Kean HOU EES on     
PM 


JENNIFER 
    AM
To Steven J Kean HOU 
cc  
Subject Enrons Global Asset Management Conference

Steve
As we discussed the other day Enrons Global Asset Management Conference 
committee would like to invite you to be the sponsor for our panel discussion 
on Enrons Regulatory and Governmental Affairs issues for this conference 
which is being held at the Woodlands Conference Center on October   We 
would like to have your panel discussion on October  from PM  We 
would like to ask that the you to put together a session that highlights 
topics that provide a insight from both a national and international 
perspective  

The conference committee has chosen the One Enron theme since the attendees 
at the conference are coming from all the Enron business units both 
domestically and internationally The estimated attendance at the conference 
will be  Enron and Joint Venture employees  The invitations are being 
issued enterprisewide to employees who are engaged in 
operations maintenance purchasing sourcing  This conference is the expansion 
of the annual plant managers conference that is held each year in Houston  
We are replacing it with what we will be a Best in Class conference 
addressing multiple topics that will provide direction that will result in 
lower costs increased earnings and employee retention  We will also be 
utilizing this conference as an additional mentoring activity for our 
Minority Women Business Enterprise suppliers
I hope that you will accept our invitation because I know many of the 
participates will benefit from your panels experiences and knowledge

An agenda has been attached for your review however it is still in 
development


If you have any questions I can be reached at  

 Jennifer L Stewart
Senior Director
Global Strategic Sourcing
 
"
2000-07-25T07:36:00-07:00,"Maybe we should knock down the walls of those cavernous offices on the top 
floor




Mark 
    AM
To Steven J Kean HOU  Cindy Olson Corp  Mark 
Palmer Corp  Mark Koenig Corp 
cc  
Subject Canary Wharf  Update for Executive Committee

Just a quick update on our real estate escapades Regards  Mark
 Forwarded by Mark Frevert NA Enron on     
AM 


Fernley 
    AM
To John Sherriff LON  Mark Frevert NA 
cc Jackie Gentle LON  Jon Chapman LON  

Subject Canary Wharf  Update for Executive Committee

John  as requested You may wish to top and tail this



Enron continues to expand aggressively in Europe  Forty Grosvenor Place our 
European Headquarters continues to accommodate this expansion but the long 
lead times involved in obtaining premises in London require us to evaluate 
the future accommodation requirements of the business now 

We are considering a number of scenarios and have reviewed all currently 
available sites within a  mile radius of Central London Ideally we would 
be looking to accommodate all Enron employees in one building and we require 
significant swing capacity to expand or contract the space available 
depending on our business requirements

One of the options currently available is a site being developed by Canary 
Wharf in Londons Docklands We have been looking to secure an option on this 
site so that we may properly evaluate the opportunity and consult with our 
employees

On Friday  July we agreed nonbinding Heads of Terms with Canary Wharf for 
the letting of m sq ft This was a prerequisite to obtaining exclusivity 
whereby we have until  September to negotiate contractual terms or walk 
away from the deal

We will continue to evaluate other options and there is clearly no 
commitment to conclude a deal with Canary Wharf

An announcement was made to employees at the all staff update last Thursday 
attached

Media speculation has forced Canary Wharf to issue a London Stock Exchange 
Announcement confirming that we have agreed outline terms on a potential 
letting and that discussions continue







 Forwarded by Fernley Dyson LON ECT on     

   
                        	
	Enron Information Technology
	
	From  Enron Europe General Announcement                              

	

Please respond to Jackie Gentle LON ECT
To ECT London
cc  

Subject Newsletter EuroFlash

                                                                   



Yesterday morning during the allemployee staff update Fernley Dyson on 
behalf of John Sherriff provided staff with an update on the impact Enrons 
rapid growth in Europe is having on our overall space needs at Enron House  
It was acknowledged that this is an important subject and one about which 
many employees have a lot of questions 

The message was clear  In the day to day decisionmaking process about Enron
s commercial activities it is critical to understand what options are 
available and to keep as many avenues open as possible  In turn it is 
equally important to take this same approach when looking at Enrons future 
office space requirements

What is the bottom line

Looking to the future the preference would be for all Londonbased employees 
to be housed in a single location

One of the options under consideration is Canary Wharf but we must stress 
that no decision has been taken at this time

We are currently evaluating all the options available to us in the London 
property market

If we are to move to a new building it will not occur before 

We will be seeking input and feedback from employees as part of the 
decisionmaking process

We are committed to keeping the channels of communication open and to provide 
information to employees on a timely basis 







"
1999-09-10T06:09:00-07:00,"I wuold like to attend if my calendar is open
 Forwarded by Steven J Kean HOU EES on     
PM 


Payne Jeanne  on     AM

	
To	Steven J Kean HOU 
cc	
	
Subject	BIPAC Board meeting




Hi

Will you be attending the BIPAC Board Meeting and Annual Dinner on
October th  If so will you need hotel accommodations  I have a
couple of rooms set aside if you do  Let me know  Thanks

Jeanne"
2000-07-25T09:51:00-07:00,"JUST A REMINDER

The answer to the United Way Prequalifying Questionnaire need to be turned 
in by the end of tomorrow July  

To find the questionnaire form to submit  see the email sent from the United 
Way Campaign  dated   

I encourage you all to participate  

Thanks



"
2000-07-25T10:00:00-07:00,"Enron has begun its executive solicitation for United Way  You should have 
received an email providing the intranet address where you can pledge 
online   
Please note  when entering the information online  enter  digits for your 
birth year

I encourage you to be the leaders in giving for Governmental Affairs Public 
Relations and make your pledge this week  

Further please invite the generous participation of the people in your 
groups  Thank you for your involvement"
2000-07-26T10:11:00-07:00,"I think it would be useful to verify their view that they are really only  
years from commercial production  Ideally we could get that confirmation 
from someone familiar with the technology but without any financial interest 
in its success  Their technology pitch sounded good but I dont know enough 
to recognize the potential shortcomings  I want to feel comfortable that you 
all feel this is real then I would be happy to have me and my team spend 
some time with them


To Rex Shelby Enron  Communications Steven J 
Kean HOU  Mike McConnell Vince J Kaminski HOU  Philippe A 
Bibi HOU 
cc Kenneth Lay Corp  Fabricio Soares HOU  
Subject MEC

Thank you for participating in yesterdays meeting  We spoke with Harvey and 
Jim after the meeting and they took to speed to market comments to heart  
There is an opportunity for Enron to participate with MEC in the early 
development of their company but it seems the one thing they want is the one 
thing we also want people  I would appreciate your thoughts and comments on 
the possiblity of creating a small team that could work directly with MEC as 
part of a potential investment and strategic relationship  Given our 
resource constraints this would most likely be part of the organization that 
sees the greatest strategic impact from MECs development

Mark
x

"
2000-07-27T04:15:00-07:00," Forwarded by Steven J Kean HOU EES on     
AM 
   Amber Keenan @ ECT                    AM

To Tom Briggs NA  Philip Davies LON  Paul Dawson Govt 
Affairs LON  Christopher J Day Govt Affairs LON  Nailia 
Dindarova LON  Viviana Florio LON  Kyran Hanks LON  
Paul Hennemeyer LON  Alfredo Huertas LON  Stephen 
Jones LON  Mark Schroeder LON  Peter Styles LON  Teun 
Van Biert LON  Doug Wood LON  Steven J Kean HOU  
Richard Shapiro HOU  Amr Ibrahim  
Michael Grimes AP  Nicholas ODay AP  Mac 
McClelland  Jane 
Wilson  Robert 
McGrory  Stella 
Chan  Chris Long Corp  Joe 
Hillings Corp  Sarah Novosel Corp  Fabio 
Greco LON  Tommaso Corrado LON  John D Burrows HOU  
Mike Dahlke  Carsten Haack FRA  
Justyna Ozegalska WAR  Heribert Kresse FRA 
cc Beverley Ashcroft LON  Fiona Sayers LON  Kerryann 
Irwin LON  David Gonzalez LON  Sadia Haider LON  
Subject Government Affairs offsite presentations June 

Please find attached the presentations that were made during the Government 
and Regulatory Affairs offsite in June  Apologies for the delay



THE BRATTLE GROUP


KYRAN HANKS  DUNG TRAN


JIM STEFFES


DONALD LASSERE


PAUL DAWSON


PHILIP DAVIES


ALFREDO HUERTAS


DOUG WOOD


PETER STYLES


STEPHEN JONES

"
2000-07-27T04:40:00-07:00,"Id like to get about  minutes with Mark just to catch up




Mark 
    AM
To Elizabeth Linnell HOU  Richard Shapiro HOU  Steven J 
Kean HOU 
cc Maureen McVicker HOU  Beverley Ashcroft LON  
Subject trip to Houston

I expect to be in Houston next Monday from  until Tuesday around   
If any of you wish to meet please have Maureen work with Beverley toput 
something in the diary

Elizabeth  if you do not mind I think if we just sit down for a few hours 
this will be the best way to assure that Iget you timely and accurate budget 
info so can we book something   thanks  mcs  

"
2000-07-31T01:35:00-07:00,"ditto  nice work Rob  Your insights on project stanley are also much 
appreciated
 Forwarded by Steven J Kean HOU EES on     
AM 


Richard Shapiro
    AM
To Robert Hemstock CAL 
cc Aleck Dadson TOR  Steven J Kean HOU  James D 
Steffes HOU  
Subject Alberta PPA

Your work on the  Alberta PPA has not gone unnoticed and really is a  model 
for the rest of the group as to how to approach the review and analysis of  a 
significant transaction w  huge reg risk  the thoroughness and quality of 
your work were top notch as was the teamwork you exhibited thoughout the 
process not to mention the external leadership you provided on the issue 
w  folks like Larry Charach Thanks very much
"
2000-07-31T01:59:00-07:00,"Please revise the document as Alecks changes indicate  With respect to the 
alternative responses shown near the end of the document leave both 
alternatives in
 Forwarded by Steven J Kean HOU EES on     
AM 


Richard Shapiro
    AM
To Aleck Dadson TOR 
cc Steven J Kean HOU  Mark Palmer Corp  Eric 
Thode Corp  Richard B Sanders HOU  Robert 
Hemstock CAL  Ginger Dernehl HOU  
Subject Re Project Stanley  

I am comfortable w  the changes On question of whether we colluded W   
Powerex I would opt for simpler alternative and say we complied w  all rules 
of the pool Thanks


To Steven J Kean HOU  Richard Shapiro HOU  Mark 
Palmer Corp  Eric Thode Corp  Richard B 
Sanders HOU  Robert Hemstock CAL 
cc Ginger Dernehl HOU  
Subject Project Stanley

Privileged and Confidential  For Instruction of 
Counsel                                                 Attached is a revised 
copy of the Background note discussed earlier this week  The revisions are 
based on comments  from Frontier Economics and GPC and further reflection by 
Rob Hemstock and myself I have also attached the  raw calculations from 
Frontier that underlie several of the revisions  I have not  sent the 
revised document to outside counsel for review  



"
2000-07-31T06:40:00-07:00,"Attached are the RSVP lists for tonights reception

Enron Azurix 




City Officials




DETAILS OF TONIGHTS RECEPTION

Monday July st from  pm in the th floor lobby area  
This reception is an opportunity for us to update city officials about Enron
s businesses and an opportunity for you to meet your local representatives "
2000-08-01T00:22:00-07:00,"See below  this is one of the issues that concerned us more than price caps 
because it could limit our ability to move power to other markets in the west

In addition if you get questions from the analysts on reregulation or 
price caps it is worth pointing out that the high prices prevailing in many 
markets help our retail sales pitch to end use customers and create 
opportunities for our wholesale price risk management services     even a 
 price cap is  times what large customers are accustomed to paying
 Forwarded by Steven J Kean HOU EES on     
AM 


Susan J Mara
    AM
To David Parquet SF  Tim Belden HOU  Robert 
Badeer HOU  Dennis Benevides HOU  Roger Yang SFO  
Elsa Piekielniak Corp  James D Steffes HOU  Scott 
Vonderheide Corp  Bruno Gaillard SFO  Jeff 
Dasovich SFO  Mona L Petrochko SFO  Sandra 
McCubbin SFO  Chris H Foster HOU  Paul Kaufman PDX  
Steven J Kean HOU  Mary Hain HOU 
cc  
Subject GREAT NEWS FERC Order on Morgan Stanley Complaint Against ISO

Dan Douglass summarized this  This really puts CA and the ISO on notice that 
they cannot confiscate the power as they seem ready to do  FERC reiterates 
that the generators can sell power wherever they want because the cap is a 
cap on ISO purchases  ANd if the ISO want to set a sale price cap it has to 
file with FERC wait  days and amend its contract
 Forwarded by Susan J Mara SFO EES on     
AM 


Daniel Douglass  on     PM
To    
   
   
   
  
 
cc  
Subject FERC Order on Morgan Stanley Complaint Against ISO


We have good news on the ISO price caps front  The FERC has made it
clear that ISO does not have the ability to mandate that generators sell to 
ISO at its price caps and that the proper response to inadequate supply is to 
lift the price caps

On Friday the FERC issued its Order on Complaint in connection with the July 
 complaint filed by Morgan Stanley Capital Group Inc MS  As you may 
recall MS requested FERC to issue a stay of the ISOs maximum purchase price 
authority and to direct the ISO to reverse any price cap reductions  MS 
sought Fast Track processing pursuant to Rule h which was granted by 
FERC on the grounds that the complaint warrants expeditious action

As a quick background summary for you last November FERC issued an order 
approving Tariff Amendment  which extended ISOs price cap authority 
through     That order stated that the ISO maximum purchase price was 
not a cap on what the seller may charge the ISO but a cap on what the ISO 
was willing to pay  The Commission said that sellers dissatisfied with the 
price cap could choose to sell those services into the California Power 
Exchange or bilateral markets

FERC notes in Fridays Order that the   the ISOs Board resolution lowered 
the caps to  and ISO further directed that To the extent permitted by 
law regulation and preexisting contract Management shall direct generators 
to bid in all their capacity when system load exceeds  MW

The MS complaint alleged that the cap reduction was unlawful and would 
threaten the stability and integroty of the marketplace  MS also requested 
an emergency technical conference to examine ISOs justification for the 
price cap reduction

FERC denied the MS stay request as well as its request that the  maximum 
purchase price be reinstated  The Commission reiterates that it is not 
approving a cap on sellers prices because they can sell at whatever price 
they want  Rather ISO has simply stated the maximum price it is willing to 
pay  Because sellers are not required to sell to the ISO the ISO cannot 
dictate their price

Importantly however FERC also states that ISO has no more or less ability 
to procure capacity and energy than any other buyer of these servicesif 
the ISO is unable to elicit sufficient supplies at or below its announced 
purchase price ceiling because generators are free to sell elsewhere if they 
choose it will have to raise its purchase price to the level necessary to 
meet its needs  Emphasis added  FERC then notes that this may lead to an 
increase in Out of Market OOM calls and that OOM calls are not subject to 
a maximum purchase price

Also with regard to the ISOs resolution stating that generators must bid 
their capacity into the ISO markets when system load exceeds  MW FERC 
states clearly that such a requirement is not permitted by our November   
Order and the ISO tariff  Emphasis added

FERC goes on to say that any requirement to sell to ISO in conjunction with a 
maximum purchase price would require significant revisions to ISOs market 
rules which could not be made effective without a corresponding amendment to 
ISOs tariff  This would require  days advance notice and could not be 
implemented prior to Commission approval  As stated above our November  
Order was clearly based on the premise that the proper response to inadequate 
supply due to a low maximum purchase price is to raise the maximum purchase 
price

ISO is then put on notice that any amendment to mandate sales must be 
accompanied by a demonstration that this extreme measure is the proper 
response to low supplies in the ISO markets

Concurrences were filed by Commissioners Massey and Hebert  Massey suggests 
that the state has to facilitate solutions to market issues such as risk 
management tools removing constraints on hedging opportunities introducing 
real time pricing through real time metering and expediting approval of new 
generation and transmission projects in California  Hebert says that the 
previous November Order tried to straddle the fence and that Today the 
Commission at least starts to lean slightly in the right direction of 
recognizing that we have a role  He then reiterates his preference for 
removing all price caps  He also suggests that Getting to the bottom of 
the problem in my view requires us to begin a proceeding to rescind our 
approval of the ISO as operator of the California grid  The record supports 
such a move  He refers approvingly to the Collins resignation letter 
stating that it thoughtfully outlines consequences to the market of a 
return to command and control   Hebert states that The independence of 
the ISOs governing structure stands threatened  We should stand up to 
quote the resignation letter  Hebert advocates opening a section  
proceeding now as part of the recently announced inquiry into bulk power 
markets including the California markets

This decision makes it clear that ISO cannot lower the caps at tomorrows 
meeting and expect that sellers will be required to sell to it at that 
price  This is an important development and very good news in our ongoing 
efforts to seek economic sanity at the ISO

Please call if you have any questions

Dan


"
